[ 2025-05-04 13:03:58,039 ] 20 root - INFO - Initiate the data ingestion
[ 2025-05-04 13:04:01,145 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-05-04 13:04:01,145 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-05-04 13:04:01,145 ] 75 root - INFO - Exporting train and test file path.
[ 2025-05-04 13:04:01,217 ] 84 root - INFO - Exported train and test file path.
[ 2025-05-04 13:04:01,218 ] 22 root - INFO - Data Initiation Completed
[ 2025-05-04 13:04:01,227 ] 26 root - INFO - Initiate the data Validation
[ 2025-05-04 13:04:01,284 ] 32 root - INFO - Required number of columns:2
[ 2025-05-04 13:04:01,284 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-04 13:04:01,285 ] 32 root - INFO - Required number of columns:2
[ 2025-05-04 13:04:01,285 ] 33 root - INFO - Data frame has columns:31
[ 2025-05-04 13:04:01,444 ] 28 root - INFO - data Validation Completed
[ 2025-05-04 13:04:01,445 ] 31 root - INFO - data Transformation started
[ 2025-05-04 13:04:01,445 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-05-04 13:04:01,445 ] 65 root - INFO - Starting data transformation
[ 2025-05-04 13:04:01,472 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-05-04 13:04:01,472 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-05-04 13:04:01,484 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-04 13:04:01,488 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-04 13:04:01,488 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-05-04 13:04:01,490 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-05-04 13:04:01,492 ] 35 root - INFO - data Transformation completed
